(x,y):
497.0438, 111.6498
450.9608, 113.9539
427.9194, 123.1705
407.182, 132.3871
384.1406, 162.341
363.4032, 178.47
356.4908, 206.1198
349.5783, 226.8571
347.2742, 242.9862
356.4908, 268.3318
363.4032, 286.765
358.7949, 302.894
358.7949, 332.8479
368.0115, 346.6728
370.3157, 376.6267
386.4447, 397.3641
407.182, 443.447
425.6152, 448.0553
467.0899, 461.8802
522.3894, 468.7926
556.9516, 457.2719
593.818, 431.9263
598.4263, 401.9724
609.947, 365.106
623.7719, 360.4977
626.076, 342.0645
630.6843, 316.7189
632.9885, 305.1982
623.7719, 282.1567
632.9885, 263.7235
632.9885, 213.0323
621.4677, 178.47
605.3387, 155.4286
577.6889, 139.2995
529.3018, 120.8664
499.3479, 111.6498
